"","type","number","type_label","Group"
"Lactobacillus","Lactobacillus","0.274313598747664","27.43%","five"
"Streptococcus","Streptococcus","0.145552286065421","14.56%","five"
"Gardnerella","Gardnerella","0.100236295065421","10.02%","five"
"Prevotella","Prevotella","0.082449536411215","8.24%","five"
"Bifidobacterium","Bifidobacterium","0.0530682476074766","5.31%","five"
"Escherichia-Shigella","Escherichia-Shigella","0.0412801675140187","4.13%","five"
"Atopobium","Atopobium","0.0350236484299065","3.5%","five"
"Aerococcus","Aerococcus","0.019395348317757","1.94%","five"
"Ureaplasma","Ureaplasma","0.0188242721121495","1.88%","five"
"Thermus","Thermus","0.0171466095700935","1.71%","five"
"Others","Others","0.212709990158878","21.27%","five"
