"","type","number","type_label","Group"
"Lactobacillus","Lactobacillus","0.988414154191257","98.84%","one"
"Gardnerella","Gardnerella","0.00234388179052823","0.23%","one"
"Limosilactobacillus","Limosilactobacillus","0.00165487467213115","0.17%","one"
"Ureaplasma","Ureaplasma","0.000846034803278689","0.08%","one"
"Prevotella","Prevotella","0.000532654493624772","0.05%","one"
"Atopobium","Atopobium","0.0004788014571949","0.05%","one"
"Thermus","Thermus","0.000446013","0.04%","one"
"Escherichia-Shigella","Escherichia-Shigella","0.000422018841530055","0.04%","one"
"Streptococcus","Streptococcus","0.000338308373406193","0.03%","one"
"Mesorhizobium","Mesorhizobium","0.000317247726775956","0.03%","one"
"Others","Others","0.00420601065027326","0.42%","one"
