,frequency,color,color_value,color_legend
Lactobacillus,5,#1cc7d0,Lactobacillus='#1cc7d0','#1cc7d0'
Gardnerella,5,#2dde98,Gardnerella='#2dde98','#2dde98'
Limosilactobacillus,3,#ed1b2e,Limosilactobacillus='#ed1b2e','#ed1b2e'
Ureaplasma,4,#ffc168,Ureaplasma='#ffc168','#ffc168'
Prevotella,5,#ff6c5f,Prevotella='#ff6c5f','#ff6c5f'
Atopobium,4,#ff4f81,Atopobium='#ff4f81','#ff4f81'
Thermus,3,#b84592,Thermus='#b84592','#b84592'
Escherichia-Shigella,2,#8e43e7,Escherichia-Shigella='#8e43e7','#8e43e7'
Streptococcus,4,#3369e7,Streptococcus='#3369e7','#3369e7'
Mesorhizobium,1,#00aeff,Mesorhizobium='#00aeff','#00aeff'
Others,5,#8f8f8c,Others='#8f8f8c','#8f8f8c'
Meiothermus,1,#050f2c,Meiothermus='#050f2c','#050f2c'
Acinetobacter,1,#7f181b,Acinetobacter='#7f181b','#7f181b'
Anaerococcus,2,#004b79,Anaerococcus='#004b79','#004b79'
Sneathia,2,#0091cd,Sneathia='#0091cd','#0091cd'
Megasphaera,1,#56a0d3,Megasphaera='#56a0d3','#56a0d3'
Fastidiosipila,1,#c4dff6,Fastidiosipila='#c4dff6','#c4dff6'
Aerococcus,3,#537b35,Aerococcus='#537b35','#537b35'
Shuttleworthia,1,#8ec06c,Shuttleworthia='#8ec06c','#8ec06c'
Dialister,1,#ecb731,Dialister='#ecb731','#ecb731'
Bifidobacterium,1,#b4a996,Bifidobacterium='#b4a996','#b4a996'
