"","type","number","type_label","Group"
"Gardnerella","Gardnerella","0.616180835072222","61.62%","three"
"Lactobacillus","Lactobacillus","0.143167052916667","14.32%","three"
"Prevotella","Prevotella","0.0652575520777778","6.53%","three"
"Atopobium","Atopobium","0.0513517910166667","5.14%","three"
"Sneathia","Sneathia","0.0404260711777778","4.04%","three"
"Megasphaera","Megasphaera","0.0137732295611111","1.38%","three"
"Fastidiosipila","Fastidiosipila","0.00697036561666667","0.7%","three"
"Aerococcus","Aerococcus","0.00694312596111111","0.69%","three"
"Shuttleworthia","Shuttleworthia","0.00679717306666667","0.68%","three"
"Dialister","Dialister","0.00625930147222222","0.63%","three"
"Others","Others","0.0428735020611111","4.29%","three"
