"","type","number","type_label","Group"
"Lactobacillus","Lactobacillus","0.955385634602273","95.54%","two"
"Gardnerella","Gardnerella","0.0130670041780303","1.31%","two"
"Prevotella","Prevotella","0.00383278610227273","0.38%","two"
"Limosilactobacillus","Limosilactobacillus","0.00330528322348485","0.33%","two"
"Ureaplasma","Ureaplasma","0.00289863659848485","0.29%","two"
"Thermus","Thermus","0.00198056443939394","0.2%","two"
"Meiothermus","Meiothermus","0.00129339719318182","0.13%","two"
"Streptococcus","Streptococcus","0.001188617125","0.12%","two"
"Acinetobacter","Acinetobacter","0.00107718550757576","0.11%","two"
"Anaerococcus","Anaerococcus","0.000997907147727273","0.1%","two"
"Others","Others","0.0149729838825757","1.5%","two"
